Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Physical Product “The Band” T-Shirt,physical-product-the-band-t-shirt,"Celebrate the timeless legacy of one of rock music's most influential groups with our exclusive The Band Graphic T-Shirt. Perfect for music lovers and vintage style enthusiasts, this t-shirt features a striking graphic of The Band, capturing the essence of their iconic sound and enduring spirit.",Harmony Threads,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Graphic shirt,"Unisex, Clothing, Men, Women, Casual, Vintage",TRUE,Active,TheBandTShirt-SG,5784397765,Size,Small,,Color,green,product.metafields.shopify.color-pattern,,,,19.99,24.99,11.00,TRUE,,,,,,shopify,47,DENY,150,g,TRUE,manual,https://burst.shopifycdn.com/photos/forest-hiker.jpg?width=1000,1,Green t-shirt with The Band graphic,,FALSE,Vintage The Band Graphic T-Shirt: Iconic Rock Music Tribute Tee,"Celebrate the legacy of rock icons with our exclusive The Band Graphic T-Shirt. Perfect for music lovers and vintage style fans, this tee features a striking graphic of The Band, capturing their iconic sound and spirit.",green; gray; red,Apparel & Accessories > Clothing > Shirts & Tops,Unisex,Adult (13+ years old),TSH-12345-GRY-S,Rock Band Graphic Tees,Music Merch,New,FALSE,Top Seller,,,,
,physical-product-the-band-t-shirt,,,,,,,,TheBandTShirt-SA,5784397766,,Small,,,gray,,,,,19.99,24.99,11.00,TRUE,20010,,,,,shopify,42,DENY,150,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,physical-product-the-band-t-shirt,,,,,,,,TheBandTShirt-SR,5784397767,,Small,,,red,,,,,19.99,24.99,11.00,TRUE,,,,,,shopify,51,DENY,150,g,TRUE,manual,,,,,,,,,,,,TSH-12345-RED-S,,,,,,,,,
,physical-product-the-band-t-shirt,,,,,,,,TheBandTShirt-MG,5784397768,,Medium,,,green,,,,,19.99,24.99,11.00,TRUE,,,,,,shopify,40,DENY,177,g,TRUE,manual,,,,,,,,,,,,TSH-12345-GRN-M,,,,,,,,,
,physical-product-the-band-t-shirt,,,,,,,,TheBandTShirt-MA,5784397769,,Medium,,,gray,,,,,19.99,24.99,11.00,TRUE,,,,,,shopify,39,DENY,177,g,TRUE,manual,,,,,,,,,,,,TSH-12345-GRY-M,,,,,,,,,
,physical-product-the-band-t-shirt,,,,,,,,TheBandTShirt-MR,5784397770,,Medium,,,red,,,,,19.99,24.99,11.00,TRUE,,,,,,shopify,56,DENY,177,g,TRUE,manual,,,,,,,,,,,,TSH-12345-RED-M,,,,,,,,,
,physical-product-the-band-t-shirt,,,,,,,,TheBandTShirt-LG,5784397771,,Large,,,green,,,,,19.99,24.99,11.00,TRUE,,,,,,shopify,50,DENY,181,g,TRUE,manual,,,,,,,,,,,,TSH-12345-GRN-L,,,,,,,,,
,physical-product-the-band-t-shirt,,,,,,,,TheBandTShirt-LA,5784397772,,Large,,,gray,,,,,19.99,24.99,11.00,TRUE,,,,,,shopify,44,DENY,181,g,TRUE,manual,,,,,,,,,,,,TSH-12345-GRY-L,,,,,,,,,
,physical-product-the-band-t-shirt,,,,,,,,TheBandTShirt-LR,5784397773,,Large,,,red,,,,,19.99,24.99,11.00,TRUE,,,,,,shopify,34,DENY,181,g,TRUE,manual,,,,,,,,,,,,TSH-12345-RED-L,,,,,,,,,
,physical-product-the-band-t-shirt,,,,,,,,TheBandTShirt-XG,5784397774,,XL,,,green,,,,,19.99,24.99,11.00,TRUE,,,,,,shopify,27,DENY,200,g,TRUE,manual,,,,,,,,,,,,TSH-12345-GRN-X,,,,,,,,,
,physical-product-the-band-t-shirt,,,,,,,,TheBandTShirt-XA,5784397775,,XL,,,gray,,,,,19.99,24.99,11.00,TRUE,,,,,,shopify,43,DENY,200,g,TRUE,manual,,,,,,,,,,,,TSH-12345-GRY-X,,,,,,,,,
,physical-product-the-band-t-shirt,,,,,,,,TheBandTShirt-XR,5784397776,,XL,,,red,,,,,19.99,24.99,11.00,TRUE,,,,,,shopify,40,DENY,200,g,TRUE,manual,,,,,,,,,,,,TSH-12345-RED-X,,,,,,,,,
Digital Product The History of Rock Music,digital-product-the-history-of-rock-music,"Dive into the rich and electrifying world of rock music with 'The History of Rock Music: From Roots to Revolution.' This comprehensive eBook explores the origins, evolution, and cultural impact of rock music, featuring iconic artists, groundbreaking albums, and pivotal moments in music history. Perfect for music enthusiasts and historians alike. PDF, ePub, Kindle. 8 MB. English.",Harmony Publishing,Media > Books > E-Books,Digital book,"Rock Music, Music History, eBook, Music Culture, Rock Bands, Music Genres",TRUE,Active,HRM-EBK-PDF,978-1-98765-432-1,Format,PDF,,,,,,,,14.99,,4.00,,A9277,,,,,,,CONTINUE,,,FALSE,music-man-fulfillment,,,,,FALSE,The History of Rock Music eBook – From Roots to Revolution,"Explore the evolution of rock music with our eBook, 'The History of Rock Music.' Discover iconic artists and albums that shaped the genre. Available for download now!",,,,,,,,,,,,,,
,digital-product-the-history-of-rock-music,,,,,,,,HRM-EBK-AUD,978-1-98765-432-1,,Audio,,,,,,,,21.99,,8.00,,,,,,,,,CONTINUE,,,FALSE,music-man-fulfillment,,,,,,,,,,,,,,,,,,,,,
,digital-product-the-history-of-rock-music,,,,,,,,HRM-EBK-KND,978-1-98765-432-1,,Kindle,,,,,,,,9.99,14.99,4.00,,,,,,,,,CONTINUE,,,FALSE,music-man-fulfillment,,,,,,,,,,,,,,,,,,,,,
Example Perfume,example-perfume,,Acme,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,mens perfume example,FALSE,active,EX-PERF-MEN,,Title,Premium,,,,,,,,74.99,80,,TRUE,,500.00,ml,50.00,ml,,,DENY,500,g,TRUE,manual,https://burst.shopifycdn.com/photos/black-glass-perfume-bottle-and-spritzer.jpg?width=500,1,,,FALSE,Our awesome perfume,A great description of your products in 320 characters or less,,Apparel & Accessories > Clothing,,,,,,,,,,,,
Hasır Sehpa,hasir-sehpa,"Elde örülen iki katlı yuvarlak sehpa; üstte tepsi formlu bir yüzey, altta kapaklı sepet gözü. Ahşap iskeleti ve sıcak dokusuyla her köşeye zamansız bir duruş. Yükseklik ~58 cm. Geri dönüştürülmüş kağıt hasır, siparişe özel el yapımı.",Seselka Home,Home & Garden > Furniture > Accent Tables,Sehpa,"Hasır, Sehpa, Mobilya, El Yapımı, Geri Dönüştürülmüş Kağıt, Sefa Selver",TRUE,Active,SES-HS-01,,Title,Default Title,,,,,,,,5900.00,8430.00,,TRUE,,,,,,shopify,0,CONTINUE,,g,TRUE,manual,,,,,FALSE,Hasır Sehpa – El Yapımı Kağıt Hasır İki Katlı Sehpa,"Elde örülen iki katlı yuvarlak hasır sehpa; tepsi formlu üst yüzey ve kapaklı sepet gözüyle. Geri dönüştürülmüş kağıttan, siparişe özel üretilir.",,Home & Garden > Furniture > Accent Tables,,,,,,New,FALSE,Yeni,Açılışa özel %30,,,
